n_variables,k_interes,k_condicionales,tiempo_ms
10,1,2,0.148432
10,1,3,0.140666
10,1,4,0.158242
10,1,5,0.130324
10,1,6,0.132432
10,1,7,0.13204
10,1,8,0.133902
10,1,9,0.164796
10,2,1,0.175764
10,2,2,0.158279
10,2,3,0.142628
10,2,4,0.134702
10,2,5,0.128766
10,2,6,0.131161
10,2,7,0.131766
10,2,8,0.138054
10,3,1,0.185716
10,3,2,0.172039
10,3,3,0.146468
10,3,4,0.134253
10,3,5,0.130668
10,3,6,0.130722
10,3,7,0.132187
10,4,1,0.199413
10,4,2,0.172197
10,4,3,0.14985
10,4,4,0.134328
10,4,5,0.157932
10,4,6,0.130987
10,5,1,0.213951
10,5,2,0.177649
10,5,3,0.152044
10,5,4,0.136275
10,5,5,0.132458
10,6,1,0.231114
10,6,2,0.184156
10,6,3,0.183123
10,6,4,0.138862
10,7,1,0.243124
10,7,2,0.191655
10,7,3,0.181783
10,8,1,0.255375
10,8,2,0.197314
10,9,1,0.26742
